Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry
Housing Development Finance Corp Ltd,500010,BSE LTD,Financials,Banks,Thrifts and Mortgage Finance,Thrifts and Mortgage Finance
HSBC Holdings PLC,HSBA,London Stock Exchange,Financials,Banks,Banks,Diversified Banks
Huaneng Power International Inc,HNP,New York Stock Exchange Inc.,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers and Energy Traders
Hyatt Hotels Corp,H,New York Stock Exchange Inc.,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Hotels Resorts and Cruise Lines
Hypera SA,HYPE3,B3 S.A.,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals
ICICI Bank Ltd,532174,BSE LTD,Financials,Banks,Banks,Diversified Banks
Illumina Inc,ILMN,Nasdaq,Health Care,Pharmaceuticals and Biotechnology,Life Sciences Tools and Services,Life Sciences Tools and Services
Imax Corp,IMAX,New York Stock Exchange Inc.,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
Infosys Ltd,500209,BSE LTD,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
Innospec Inc,IOSP,Nasdaq,Materials,Materials,Chemicals,Specialty Chemicals
INTEL Corp,INTC,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Intercontinental Exchange Inc,ICE,New York Stock Exchange Inc.,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
InterContinental Hotels Group PLC,IHG,London Stock Exchange,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Hotels Resorts and Cruise Lines
IQVIA Holdings Inc,IQV,New York Stock Exchange Inc.,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
IRB Brasil Resseguros SA,IRBR3,B3 S.A.,Financials,Insurance,Insurance,Reinsurance
Iron Mountain Inc,IRM,New York Stock Exchange Inc.,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
ITC Ltd,500875,BSE LTD,Consumer Staples,Food Beverage and Tobacco,Tobacco,Tobacco
J&J Snack Foods Corp,JJSF,Nasdaq,Consumer Staples,Food Beverage and Tobacco,Food Products,Packaged Foods and Meats
JBS SA,JBSS3,B3 S.A.,Consumer Staples,Food Beverage and Tobacco,Food Products,Packaged Foods and Meats
JetBlue Airways Corp,JBLU,Nasdaq,Industrials,Transportation,Airlines,Airlines
Jiangsu Hengrui Pharmaceuticals Co Ltd,600276,Shanghai Stock Exchange,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals
Johnson & Johnson,JNJ,New York Stock Exchange Inc.,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals
Johnson Matthey PLC,JMAT,London Stock Exchange,Materials,Materials,Chemicals,Specialty Chemicals
JPMorgan Chase & Co,JPM,New York Stock Exchange Inc.,Financials,Banks,Banks,Diversified Banks
Jubilant Foodworks Ltd,533155,BSE LTD,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Restaurants
Just Dial Ltd,535648,BSE LTD,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
Kaiser Aluminum Corp,KALU,Nasdaq,Materials,Materials,Metals and Mining,Aluminum
Kellogg Co,K,New York Stock Exchange Inc.,Consumer Staples,Food Beverage and Tobacco,Food Products,Packaged Foods and Meats
Keurig Dr Pepper Inc,KDP,Nasdaq,Consumer Staples,Food Beverage and Tobacco,Beverages,Soft Drinks
KeyCorp,KEY,New York Stock Exchange Inc.,Financials,Banks,Banks,Regional Banks
Kinder Morgan Inc,KMI,New York Stock Exchange Inc.,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Storage & Transportation
Kirkland Lake Gold Ltd,KL,Toronto Stock Exchange,Materials,Materials,Metals and Mining,Gold
KKR & Co Inc,KKR,New York Stock Exchange Inc.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
Klabin SA,KLBN11,B3 S.A.,Materials,Materials,Containers and Packaging,Paper Packaging
Kotak Mahindra Bank Ltd,500247,BSE LTD,Financials,Banks,Banks,Diversified Banks
Kweichow Moutai Co Ltd,600519,Shanghai Stock Exchange,Consumer Staples,Food Beverage and Tobacco,Beverages,Distillers and Vintners
Lamprell PLC,LAM,London Stock Exchange,Energy,Energy,Energy Equipment and Services,Oil and Gas Equipment and Services
Lands' End Inc,LE,Nasdaq,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
Larsen & Toubro Ltd,500510,BSE LTD,Industrials,Capital Goods,Construction and Engineering,Construction and Engineering
Las Vegas Sands Corp,LVS,New York Stock Exchange Inc.,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Casinos and Gaming
Lazard Ltd,LAZ,New York Stock Exchange Inc.,Financials,Diversified Financials,Capital Markets,Investment Banking and Brokerage
LCI Industries Inc,LCII,New York Stock Exchange Inc.,Consumer Discretionary,Automobiles and Components,Auto Components,Auto Parts and Equipment
Lloyds Banking Group PLC,LLOY,London Stock Exchange,Financials,Banks,Banks,Diversified Banks
Localiza Rent A Car SA,RENT3,B3 S.A.,Industrials,Transportation,Road and Rail,Trucking
Lockheed Martin Corp,LMT,New York Stock Exchange Inc.,Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense
Loews Corp,L,New York Stock Exchange Inc.,Financials,Insurance,Insurance,Property and Casualty Insurance
Lojas Renner SA,LREN3,B3 S.A.,Consumer Discretionary,Retailing,Multiline Retail,Department Stores
Lookers PLC,LOOK,London Stock Exchange,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
Lowe's Companies Inc,LOW,New York Stock Exchange Inc.,Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail
Lululemon Athletica Inc,LULU,Nasdaq,Consumer Discretionary,Consumer Durables and Apparel,Textiles Apparel and Luxury Goods,Apparel Accessories and Luxury Goods
Lyft Inc,LYFT,Nasdaq,Industrials,Transportation,Road and Rail,Trucking
M Dias Branco SA Industria e Comercio de Alimentos,MDIA3,B3 S.A.,Consumer Staples,Food Beverage and Tobacco,Food Products,Packaged Foods and Meats
M&T Bank Corp,MTB,New York Stock Exchange Inc.,Financials,Banks,Banks,Regional Banks
Macy's Inc,M,New York Stock Exchange Inc.,Consumer Discretionary,Retailing,Multiline Retail,Department Stores
Magazine Luiza SA,MGLU3,B3 S.A.,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
Mahindra & Mahindra Ltd,500520,BSE LTD,Consumer Discretionary,Automobiles and Components,Automobiles,Automobile Manufacturers
Manhattan Associates Inc,MANH,Nasdaq,Information Technology,Software and Services,Software,Application Software
Marriott International Inc,MAR,Nasdaq,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Hotels Resorts and Cruise Lines
Maruti Suzuki India Ltd,532500,BSE LTD,Consumer Discretionary,Automobiles and Components,Automobiles,Automobile Manufacturers
Mastercard Inc,MA,New York Stock Exchange Inc.,Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services
Match Group Inc,MTCH,Nasdaq,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
Mattel Inc,MAT,Nasdaq,Consumer Discretionary,Consumer Durables and Apparel,Leisure Products,Leisure Products
Max Financial Services Ltd,500271,BSE LTD,Financials,Insurance,Insurance,Life and Health Insurance
McCormick & Co Inc,MKC,New York Stock Exchange Inc.,Consumer Staples,Food Beverage and Tobacco,Food Products,Packaged Foods and Meats
McDonald's Corp,MCD,New York Stock Exchange Inc.,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Restaurants
McKesson Corp,MCK,New York Stock Exchange Inc.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Distributors
Mediclinic International PLC,MDC,London Stock Exchange,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
Meituan,03690,Hong Kong Exchanges And Clearing Ltd,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
Merck & Co Inc,MRK,New York Stock Exchange Inc.,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals
Meta Materials Inc,MMAT,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
MetLife Inc,MET,New York Stock Exchange Inc.,Financials,Insurance,Insurance,Life and Health Insurance
Micro Focus International PLC,MCRO,London Stock Exchange,Information Technology,Software and Services,Software,Application Software
Microsoft Corp,MSFT,Nasdaq,Information Technology,Software and Services,Software,Systems Software
Middlesex Water Co,MSEX,Nasdaq,Utilities,Utilities,Water Utilities,Water Utilities
Midea Group Co Ltd,000333,Shenzhen Stock Exchange,Consumer Discretionary,Consumer Durables and Apparel,Household Durables,Household Appliances
MindTree Ltd,532819,BSE LTD,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
Molson Coors Beverage Co,TAP,New York Stock Exchange Inc.,Consumer Staples,Food Beverage and Tobacco,Beverages,Brewers
Mondi PLC,MNDI,London Stock Exchange,Materials,Materials,Paper and Forest Products,Paper Products
Monster Beverage Corp,MNST,Nasdaq,Consumer Staples,Food Beverage and Tobacco,Beverages,Soft Drinks
Moody's Corporation,MCO,New York Stock Exchange Inc.,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
Morgan Stanley,MS,New York Stock Exchange Inc.,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
Movado Group Inc,MOV,New York Stock Exchange Inc.,Consumer Discretionary,Consumer Durables and Apparel,Textiles Apparel and Luxury Goods,Apparel Accessories and Luxury Goods
Multiplan Empreendimentos Imobiliarios SA,MULT3,B3 S.A.,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Operating Companies
Myriad Genetics Inc,MYGN,Nasdaq,Health Care,Pharmaceuticals and Biotechnology,Biotechnology,Biotechnology
National Beverage Corp,FIZZ,Nasdaq,Consumer Staples,Food Beverage and Tobacco,Beverages,Soft Drinks
National Fuel Gas Co,NFG,New York Stock Exchange Inc.,Utilities,Utilities,Gas Utilities,Gas Utilities
Natura & Co Holding SA,NTCO3,B3 S.A.,Consumer Staples,Household and Personal Products,Personal Products,Personal Products
Natural Gas Services Group Inc,NGS,New York Stock Exchange Inc.,Energy,Energy,Energy Equipment and Services,Oil and Gas Equipment and Services
NatWest Group PLC,NWG,London Stock Exchange,Financials,Banks,Banks,Diversified Banks
Nestle India Ltd,500790,BSE LTD,Consumer Staples,Food Beverage and Tobacco,Food Products,Packaged Foods and Meats
NetEase Inc,NTES,Nasdaq,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
NETFLIX Inc,NFLX,Nasdaq,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
New Oriental Education & Technology Group Inc,EDU,New York Stock Exchange Inc.,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
Next PLC,NXT,London Stock Exchange,Consumer Discretionary,Retailing,Multiline Retail,Department Stores
NIIT Ltd,500304,BSE LTD,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
Nike Inc,NKE,New York Stock Exchange Inc.,Consumer Discretionary,Consumer Durables and Apparel,Textiles Apparel and Luxury Goods,Footwear
Northern Technologies International Corp,NTIC,Nasdaq,Materials,Materials,Chemicals,Specialty Chemicals
Northrop Grumman Corp,NOC,New York Stock Exchange Inc.,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
Norwegian Cruise Line Holdings Ltd,NCLH,New York Stock Exchange Inc.,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Hotels Resorts and Cruise Lines
Notre Dame Intermedica Participacoes SA,GNDI3,B3 S.A.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Managed Health Care
NOV Inc,NOV,New York Stock Exchange Inc.,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
Novartis AG,NVS,New York Stock Exchange Inc.,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals
NTPC Ltd,532555,BSE LTD,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers and Energy Traders
Nutrien Ltd,NTR,New York Stock Exchange Inc.,Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals
NVIDIA Corp,NVDA,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
NXP Semiconductors NV,NXPI,Nasdaq,Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductors
Oil & Natural Gas Corp Ltd,500312,BSE LTD,Energy,Energy,Oil Gas and Consumable Fuels,Integrated Oil and Gas
Old National Bancorp,ONB,Nasdaq,Financials,Banks,Banks,Regional Banks
On The Beach Group PLC,OTB,London Stock Exchange,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Hotels Resorts and Cruise Lines
ONEOK Inc,OKE,New York Stock Exchange Inc.,Energy,Energy,Oil Gas and Consumable Fuels,Oil and Gas Storage and Transportation
Oppenheimer Holdings Inc,OPY,New York Stock Exchange Inc.,Financials,Diversified Financials,Capital Markets,Investment Banking and Brokerage
Oracle Corp,ORCL,New York Stock Exchange Inc.,Information Technology,Software and Services,Software,Systems Software
O'Reilly Automotive Inc,ORLY,Nasdaq,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
PACCAR Inc,PCAR,Nasdaq,Industrials,Capital Goods,Machinery,Construction Machinery and Heavy Trucks
Papa John's International Inc,PZZA,Nasdaq,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Restaurants
PayPal Holdings Inc,PYPL,Nasdaq,Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services
Pearson PLC,PSON,London Stock Exchange,Communication Services,Media & Entertainment,Media,Publishing
Peloton Interactive Inc,PTON,Nasdaq,Consumer Discretionary,Consumer Durables & Apparel,Leisure Equipment & Products,Leisure Products
PepsiCo Inc,PEP,Nasdaq,Consumer Staples,Food Beverage and Tobacco,Beverages,Soft Drinks
PetroChina Co Ltd,PTR,New York Stock Exchange Inc.,Energy,Energy,Oil Gas and Consumable Fuels,Integrated Oil and Gas
Petroleo Brasileiro SA Petrobras,PETR3,B3 S.A.,Energy,Energy,Oil Gas and Consumable Fuels,Integrated Oil and Gas
Pfizer Inc,PFE,New York Stock Exchange Inc.,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals
PG&E Corp,PCG,New York Stock Exchange Inc.,Utilities,Utilities,Electric Utilities,Electric Utilities
Phillips 66,PSX,New York Stock Exchange Inc.,Energy,Energy,Oil Gas and Consumable Fuels,Oil and Gas Refining and Marketing
Physicians Realty Trust,DOC,New York Stock Exchange Inc.,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
Ping An Insurance (Group) Co. of China Ltd,02318,Hong Kong Exchanges And Clearing Ltd,Financials,Insurance,Insurance,Life and Health Insurance
Piramal Enterprises Ltd,500302,BSE LTD,Financials,Diversified Financials,Diversified Financial Services,Specialized Finance
Planet Fitness Inc,PLNT,New York Stock Exchange Inc.,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Leisure Facilities
PNC Financial Services Group Inc,PNC,New York Stock Exchange Inc.,Financials,Banks,Banks,Regional Banks
Porto Seguro SA,PSSA3,B3 S.A.,Financials,Insurance,Insurance,Multi-line Insurance
POSCO,PKX,New York Stock Exchange Inc.,Materials,Materials,Metals and Mining,Steel
Power Grid Corp Of India Ltd,532898,BSE LTD,Utilities,Utilities,Electric Utilities,Electric Utilities
Prestige Consumer Healthcare Inc,PBH,New York Stock Exchange Inc.,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals
Price (T. ROWE) Group,TROW,Nasdaq,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
Procter & Gamble Co,PG,New York Stock Exchange Inc.,Consumer Staples,Household and Personal Products,Household Products,Household Products
Prudential Financial Inc,PRU,New York Stock Exchange Inc.,Financials,Insurance,Insurance,Life and Health Insurance
Public Storage,PSA,New York Stock Exchange Inc.,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
Quaker Chemical Corp,KWR,New York Stock Exchange Inc.,Materials,Materials,Chemicals,Specialty Chemicals
QUALCOMM Inc,QCOM,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Raia Drogasil SA,RADL3,B3 S.A.,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Drug Retail
Raytheon Technologies Corp,RTX,New York Stock Exchange Inc.,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
RBC Bearings Inc,ROLL,Nasdaq,Industrials,Capital Goods,Machinery,Industrial Machinery
REC Ltd,532955,BSE LTD,Financials,Diversified Financials,Diversified Financial Services,Specialized Finance
Reckitt Benckiser Group PLC,RKT,London Stock Exchange,Consumer Staples,Household and Personal Products,Household Products,Household Products
Regeneron Pharmaceuticals Inc,REGN,Nasdaq,Health Care,Pharmaceuticals and Biotechnology,Biotechnology,Biotechnology
Regions Financial Corp,RF,New York Stock Exchange Inc.,Financials,Banks,Banks,Regional Banks
Reliance Industries Ltd,500325,BSE LTD,Energy,Energy,Oil Gas and Consumable Fuels,Oil and Gas Refining and Marketing
Restaurant Brands International Inc,QSR,Toronto Stock Exchange,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Restaurants
Revlon Inc,REV,New York Stock Exchange Inc.,Consumer Staples,Household and Personal Products,Personal Products,Personal Products
Rightmove Plc,RMV,London Stock Exchange,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
Rio Tinto PLC,RIO,London Stock Exchange,Materials,Materials,Metals and Mining,Diversified Metals and Mining
Ritchie Bros Auctioneers Inc,RBA,New York Stock Exchange Inc.,Industrials,Commercial Services and Supplies,Commercial Services and Supplies,Diversified Support Services
Rite Aid Corp,RAD,New York Stock Exchange Inc.,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Drug Retail
Rogers Communications-CL B,RCI,New York Stock Exchange Inc.,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
Rolls-Royce Holdings PLC,RR.,London Stock Exchange,Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense
Royal Bank of Canada,RY,Toronto Stock Exchange,Financials,Banks,Commercial Banks,Diversified Banks
Royal Dutch Shell PLC,RDSA,London Stock Exchange,Energy,Energy,Oil Gas and Consumable Fuels,Integrated Oil and Gas
Royal Gold Inc,RGLD,Nasdaq,Materials,Materials,Metals and Mining,Gold
Rumo SA,RAIL3,B3 S.A.,Industrials,Transportation,Road and Rail,Railroads
Sage Group (The) PLC,SGE,London Stock Exchange,Information Technology,Software and Services,Software,Application Software
Sainsbury (J) PLC,SBRY,London Stock Exchange,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail
Salesforce Inc,CRM,New York Stock Exchange Inc.,Information Technology,Software & Services,Software,Application Software
SAP SE,SAP,New York Stock Exchange Inc.,Information Technology,Software & Services,Software,Application Software
Schroders PLC,SDR,London Stock Exchange,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
SEI Investments Co,SEIC,Nasdaq,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
Sempra Energy,SRE,New York Stock Exchange Inc.,Utilities,Utilities,Multi-Utilities,Multi-Utilities
Severn Trent PLC,SVT,London Stock Exchange,Utilities,Utilities,Water Utilities,Water Utilities
Shanghai International Airport Co Ltd,600009,Shanghai Stock Exchange,Industrials,Transportation,Transportation Infrastructure,Airport Services
Shenzhen Mindray Bio-Medical Electronics Co Ltd,300760,Shenzhen Stock Exchange,Health Care,Health Care Equipment and Services,Health Care Equipment and Supplies,Health Care Equipment
Shopify Inc,SHOP,Toronto Stock Exchange,Information Technology,Software and Services,IT Services,Internet Services & Infrastructure
Sirius XM Holdings Inc,SIRI,Nasdaq,Communication Services,Media & Entertainment,Media,Cable & Satellite
SJVN Ltd,533206,BSE LTD,Utilities,Utilities,Electric Utilities,Electric Utilities
SJW Group,SJW,New York Stock Exchange Inc.,Utilities,Utilities,Water Utilities,Water Utilities
SkyWest Inc,SKYW,Nasdaq,Industrials,Transportation,Airlines,Airlines
Smith & Nephew PLC,SN.,London Stock Exchange,Health Care,Health Care Equipment and Services,Health Care Equipment and Supplies,Health Care Equipment
Smith & Wesson Brands Inc,SWBI,Nasdaq,Consumer Discretionary,Consumer Durables and Apparel,Leisure Products,Leisure Products
Smiths Group PLC,SMIN,London Stock Exchange,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
Snap-on Inc,SNA,New York Stock Exchange Inc.,Industrials,Capital Goods,Machinery,Industrial Machinery
Snowflake Inc,SNOW,New York Stock Exchange Inc.,Information Technology,Software & Services,IT Services,Internet Services & Infrastructure
Sohu.com Ltd,SOHU,Nasdaq,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
SONY Group Corporation,SONY,New York Stock Exchange Inc.,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics
Southern Co,SO,New York Stock Exchange Inc.,Utilities,Utilities,Electric Utilities,Electric Utilities
Southwest Airlines Co,LUV,New York Stock Exchange Inc.,Industrials,Transportation,Airlines,Airlines
Spirit Airlines Inc,SAVE,New York Stock Exchange Inc.,Industrials,Transportation,Airlines,Airlines
Spotify Technology SA,SPOT,New York Stock Exchange Inc.,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
Sprouts Farmers Market Inc,SFM,Nasdaq,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail
SSE PLC,SSE,London Stock Exchange,Utilities,Utilities,Electric Utilities,Electric Utilities
Standard Chartered PLC,STAN,London Stock Exchange,Financials,Banks,Banks,Diversified Banks
Starbucks Corp,SBUX,Nasdaq,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Restaurants
State Bank of India,500112,BSE LTD,Financials,Banks,Banks,Diversified Banks
Stitch Fix Inc,SFIX,Nasdaq,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
Sul America SA,SULA11,B3 S.A.,Financials,Insurance,Insurance,Multi-line Insurance
Sun Pharmaceuticals Industries Ltd,524715,BSE LTD,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals
Suncor Energy Inc,SU,Toronto Stock Exchange,Energy,Energy,Oil Gas and Consumable Fuels,Integrated Oil and Gas
Sunoco LP,SUN,New York Stock Exchange Inc.,Energy,Energy,Oil Gas and Consumable Fuels,Oil and Gas Refining and Marketing
Suzano SA,SUZB3,B3 S.A.,Materials,Materials,Paper and Forest Products,Paper Products
Sysco Corp,SYY,New York Stock Exchange Inc.,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Distributors
Taiwan Semiconductor Manufacturing Co ,TSM,New York Stock Exchange Inc.,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
TAL Education Group,TAL,New York Stock Exchange Inc.,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
Target Corp,TGT,New York Stock Exchange Inc.,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
Tata Consultancy Services Ltd,532540,BSE LTD,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
Tata Motors Ltd,500570,BSE LTD,Consumer Discretionary,Automobiles and Components,Automobiles,Automobile Manufacturers
Tata Power Co Ltd,500400,BSE LTD,Utilities,Utilities,Electric Utilities,Electric Utilities
Tata Steel Ltd,500470,BSE LTD,Materials,Materials,Metals and Mining,Steel
TC Energy Corp,TRP,New York Stock Exchange Inc.,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Storage & Transportation
Tech Mahindra Ltd,532755,BSE LTD,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
TELUS Corp,TU,New York Stock Exchange Inc.,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
Tencent Holdings Ltd,00700,Hong Kong Exchanges And Clearing Ltd,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
Tesla Inc,TSLA,Nasdaq,Consumer Discretionary,Automobiles and Components,Automobiles,Automobile Manufacturers
Teva Pharmaceutical Industries Ltd,TEVA,New York Stock Exchange Inc.,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals
Texas Instruments Inc,TXN,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Texas Roadhouse Inc,TXRH,Nasdaq,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Restaurants
The Container Store Group Inc,TCS,New York Stock Exchange Inc.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
The Estee Lauder Companies Inc,EL,New York Stock Exchange Inc.,Consumer Staples,Household and Personal Products,Personal Products,Personal Products
The GEO Group Inc,GEO,New York Stock Exchange Inc.,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
The Hershey Co,HSY,New York Stock Exchange Inc.,Consumer Staples,Food Beverage and Tobacco,Food Products,Packaged Foods and Meats
The Middleby Corp,MIDD,Nasdaq,Industrials,Capital Goods,Machinery,Industrial Machinery
The Walt Disney Co,DIS,New York Stock Exchange Inc.,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
The Wendy's Co,WEN,Nasdaq,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Restaurants
The York Water Co,YORW,Nasdaq,Utilities,Utilities,Water Utilities,Water Utilities
The9 Ltd,NCTY,Nasdaq,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
Titan Co Ltd,500114,BSE LTD,Consumer Discretionary,Consumer Durables and Apparel,Textiles Apparel and Luxury Goods,Apparel Accessories and Luxury Goods
Titan International Inc,TWI,New York Stock Exchange Inc.,Industrials,Capital Goods,Machinery,Agricultural and Farm Machinery
TJX Companies Inc,TJX,New York Stock Exchange Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
Tootsie Roll Industries Inc,TR,New York Stock Exchange Inc.,Consumer Staples,Food Beverage and Tobacco,Food Products,Packaged Foods and Meats
Toyota Motor Corp,TM,New York Stock Exchange Inc.,Consumer Discretionary,Automobiles and Components,Automobiles,Automobile Manufacturers
Treehouse Foods Inc,THS,New York Stock Exchange Inc.,Consumer Staples,Food Beverage and Tobacco,Food Products,Packaged Foods and Meats
TREX Co Inc,TREX,New York Stock Exchange Inc.,Industrials,Capital Goods,Building Products,Building Products
Tullow Oil PLC,TLW,London Stock Exchange,Energy,Energy,Oil Gas and Consumable Fuels,Oil and Gas Exploration and Production
Twitter Inc,TWTR,New York Stock Exchange Inc.,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
Tyson Foods Inc,TSN,New York Stock Exchange Inc.,Consumer Staples,Food Beverage and Tobacco,Food Products,Packaged Foods and Meats
Uber Technologies Inc,UBER,New York Stock Exchange Inc.,Industrials,Transportation,Road and Rail,Trucking
UBS Group AG,UBS,New York Stock Exchange Inc.,Financials,Diversified Financials,Capital Markets,Diversified Capital Markets
UGI Corp,UGI,New York Stock Exchange Inc.,Utilities,Utilities,Gas Utilities,Gas Utilities
Ulta Beauty Inc,ULTA,Nasdaq,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
Ultrapar Participacoes SA,UGPA3,B3 S.A.,Energy,Energy,Oil Gas and Consumable Fuels,Oil and Gas Storage and Transportation
UltraTech Cement Ltd,532538,BSE LTD,Materials,Materials,Construction Materials,Construction Materials
